Plethodon sherando
Plethodon shermani
Plethodon stormi 
Plethodon teyahalee 
Plethodon vandykei 
Plethodon variolatus 
Plethodon vehiculum 
Plethodon ventralis 
Plethodon virginia
Plethodon websteri 
Plethodon wehrlei 
Plethodon welleri 
Plethodon yonahlossee 
Pleurodeles nebulosus
Pleurodeles poireti
Pleurodeles waltl 
Proteus anguinus 
Protohynobius puxiongensis
Pseudobranchus axanthus 
Pseudobranchus striatus 
Pseudoeurycea ahuitzotl 
Pseudoeurycea altamontana 
Pseudoeurycea amuzga 
Pseudoeurycea anitae 
Pseudoeurycea aquatica 
Pseudoeurycea aurantia 
Pseudoeurycea bellii 
Pseudoeurycea boneti 
Pseudoeurycea brunnata 
Pseudoeurycea cephalica 
Pseudoeurycea cochranae 
Pseudoeurycea conanti 
Pseudoeurycea exspectata 
Pseudoeurycea firscheini 
Pseudoeurycea gadovii
Pseudoeurycea galeanae 
Pseudoeurycea gigantea
Pseudoeurycea goebeli 
Pseudoeurycea juarezi 
Pseudoeurycea leprosa 
Pseudoeurycea longicauda 
Pseudoeurycea lynchi 
Pseudoeurycea maxima
Pseudoeurycea melanomolga 
Pseudoeurycea mixcoatl 
Pseudoeurycea mixteca
Pseudoeurycea mystax 
Pseudoeurycea naucampatepetl 
Pseudoeurycea nigromaculata 
Pseudoeurycea obesa
Pseudoeurycea papenfussi
Pseudoeurycea praecellens 
Pseudoeurycea quetzalanensis
Pseudoeurycea rex 
Pseudoeurycea robertsi 
Pseudoeurycea ruficauda
Pseudoeurycea saltator 
Pseudoeurycea scandens 
Pseudoeurycea smithi 
Pseudoeurycea tenchalli 
Pseudoeurycea teotepec 
Pseudoeurycea tlahcuiloh 
Pseudoeurycea tlilicxitl 
Pseudoeurycea unguidentis 
Pseudoeurycea werleri
Pseudohynobius flavomaculatus 
Pseudohynobius kuankuoshuiensis
Pseudohynobius shuichengensis 
Pseudotriton montanus 
Pseudotriton ruber 
Ranodon sibiricus
Rhyacotriton cascadae 
Rhyacotriton kezeri 
Rhyacotriton olympicus 
Rhyacotriton variegatus 
Salamandra algira 
Salamandra atra 
Salamandra corsica 
Salamandra infraimmaculata 
Salamandra lanzai 
Salamandra salamandra 
Salamandrella keyserlingii
Salamandrella schrenckii
Salamandrina perspicillata 
Salamandrina terdigitata 
Siren intermedia 
Siren lacertina 
Speleomantes ambrosii
Speleomantes flavus 
Speleomantes genei 
Speleomantes imperialis 
Speleomantes italicus 
Speleomantes sarrabusensis
Speleomantes strinatii
Speleomantes supramontis 
Stereochilus marginatus 
Taricha granulosa 
Taricha rivularis 
Taricha sierrae 
Taricha torosa 
Thorius arboreus 
Thorius aureus 
Thorius boreas 
Thorius dubitus 
Thorius grandis 
Thorius infernalis 
Thorius insperatus 
Thorius lunaris 
Thorius macdougalli 
Thorius magnipes 
Thorius minutissimus
Thorius minydemus 
Thorius munificus 
Thorius narismagnus
Thorius narisovalis 
Thorius omiltemi 
Thorius papaloae 
Thorius pennatulus 
Thorius pulmonaris 
Thorius schmidti 
Thorius smithi
Thorius spilogaster 
Thorius troglodytes 
Triturus carnifex 
Triturus cristatus 
Triturus dobrogicus 
Triturus karelinii 
Triturus macedonicus
Triturus marmoratus 
Triturus pygmaeus 
Tylototriton asperrimus 
Tylototriton hainanensis
Tylototriton kweichowensis 
Tylototriton shanjing 
Tylototriton taliangensis 
Tylototriton verrucosus 
Tylototriton vietnamensis
Tylototriton wenxianensis 
Urspelerpes brucei
Chelatococcus daeguensis
Lysinibacillus sphaericus
